;PLAYER;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;+/-
63;Nikola Mirotic;NOP;27;55;34;21;27.2;15.6;5.6;12.4;44.7;2.5;6.5;37.7;2.0;2.5;81.8;1.1;6.3;7.4;1.5;1.1;0.8;0.7;2.0;30.0;12;0;2.7
64;D'Angelo Russell;BKN;22;48;16;32;25.7;15.5;5.8;14.0;41.4;1.9;5.8;32.4;2.0;2.7;74.0;0.6;3.3;3.9;5.2;3.1;0.8;0.4;1.9;28.2;5;1;-3.8
65;Danilo Gallinari;LAC;29;21;11;10;32.0;15.3;4.9;12.2;39.8;1.7;5.3;32.4;3.9;4.1;93.1;0.4;4.4;4.8;2.0;1.2;0.6;0.5;1.4;26.0;0;0;0.5
66;Lauri Markkanen;CHI;21;68;23;45;29.7;15.2;5.5;12.7;43.4;2.1;5.9;36.2;2.1;2.4;84.3;1.2;6.3;7.5;1.2;1.2;0.6;0.6;1.5;28.2;14;0;-5.7
67;Dennis Smith Jr.;DAL;20;69;22;47;29.7;15.2;5.9;14.8;39.5;1.5;4.9;31.3;1.9;2.8;69.4;0.7;3.0;3.8;5.2;2.8;1.0;0.3;2.2;28.6;6;1;-4.7
68;Isaiah Thomas;LAL;29;32;15;17;26.9;15.2;4.9;13.2;37.3;1.7;5.9;29.3;3.7;4.1;89.3;0.5;1.6;2.1;4.8;3.0;0.5;0.1;1.8;23.6;0;0;-3.7
69;Austin Rivers;LAC;25;61;30;31;33.7;15.1;5.6;13.2;42.4;2.2;5.9;37.8;1.7;2.6;64.2;0.4;1.9;2.4;4.0;1.8;1.2;0.3;2.5;26.5;0;0;-1.0
70;Andre Drummond;DET;24;78;37;41;33.7;15.0;6.0;11.3;52.9;0.0;0.1;0.0;3.1;5.1;60.5;5.1;10.9;16.0;3.0;2.6;1.5;1.6;3.2;45.5;62;0;-0.7
71;Otto Porter Jr.;WAS;25;77;42;35;31.6;14.7;5.8;11.5;50.3;1.8;4.1;44.1;1.4;1.7;82.8;1.3;5.1;6.4;2.0;1.0;1.5;0.5;2.0;30.6;13;0;3.7
72;Rodney Hood;CLE;25;60;29;31;26.9;14.7;5.4;12.5;42.9;2.1;5.6;38.1;1.9;2.2;86.0;0.4;2.4;2.8;1.6;1.2;0.8;0.2;1.8;22.1;0;0;-1.2
73;Dario Saric;PHI;24;78;49;29;29.6;14.6;5.2;11.4;45.3;2.0;5.1;39.3;2.3;2.7;86.0;2.0;4.7;6.7;2.6;1.9;0.7;0.3;2.1;27.3;13;0;3.7
