PLAYER;GP;MIN;PTS;FG%;3PM;3P%;FT%;REB;AST;TOV;STL;BLK;DD2;TD3;POSITION
Ivica Zubac;43;9.5;3.7;50.0;0.0;0.0;76.5;2.9;0.6;0.6;0.2;0.3;1;0;C
Ante Zizic;32;6.7;3.7;73.1;0.0;0.0;72.4;1.9;0.2;0.3;0.1;0.4;0;0;C
Tarik Black;51;10.5;3.5;59.1;0.0;9.1;46.0;3.2;0.3;0.7;0.4;0.6;2;0;C
Salah Mejri;61;11.9;3.5;64.2;0.0;0.0;57.6;4.0;0.6;0.6;0.4;1.1;1;0;C
Jason Smith;33;8.6;3.4;39.1;0.1;12.5;90.5;1.6;0.4;0.5;0.1;0.4;0;0;C
Meyers Leonard;33;7.7;3.4;59.0;0.3;42.3;81.8;2.1;0.5;0.3;0.2;0.0;0;0;C
Kendrick Perkins;1;14.5;3.0;50.0;0.0;0.0;50.0;1.0;2.0;1.0;1.0;0.0;0;0;C
Ekpe Udoh;63;12.9;2.6;50.0;0.0;0.0;75.0;2.4;0.8;0.3;0.7;1.2;0;0;C
Lucas Nogueira;49;8.5;2.5;61.3;0.1;26.3;67.9;1.8;0.4;0.3;0.5;0.9;0;0;C
Caleb Swanigan;27;7.0;2.3;40.0;0.0;12.5;66.7;2.0;0.5;0.7;0.2;0.1;0;0;C
Eric Moreland;67;12.0;2.1;54.1;0.0;0.0;37.9;4.1;1.2;0.6;0.5;0.8;2;0;C
Georgios Papagiannis;17;7.2;2.1;42.9;0.0;0.0;0.0;2.2;0.5;0.5;0.2;0.4;0;0;C
Nick Collison;15;5.0;2.1;68.4;0.0;0.0;38.5;1.3;0.3;0.5;0.0;0.0;0;0;C
Justin Patton;1;3.7;2.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0;0;C
Mangok Mathiang;4;5.0;2.0;57.1;0.0;0.0;0.0;2.5;0.0;0.0;0.3;0.0;0;0;C
Dakari Johnson;31;5.2;1.8;56.4;0.0;0.0;55.0;1.1;0.3;0.1;0.2;0.3;0;0;C
Marshall Plumlee;8;6.5;1.8;33.3;0.0;0.0;75.0;2.1;0.3;0.4;0.0;0.1;0;0;C
Joakim Noah;7;5.7;1.7;50.0;0.0;0.0;50.0;2.0;0.6;0.6;0.3;0.3;0;0;C
Damian Jones;15;5.9;1.7;50.0;0.0;0.0;60.0;0.9;0.1;0.3;0.1;0.2;0;0;C
Andrew Bogut;24;9.0;1.5;68.0;0.0;0.0;100;3.3;0.6;0.8;0.2;0.5;0;0;C
Jeff Withey;10;3.9;1.5;37.5;0.2;20.0;50.0;1.0;0.0;0.2;0.0;0.3;0;0;C
Joel Bolomboy;6;6.3;1.5;50.0;0.0;0.0;50.0;1.7;0.0;0.3;0.3;0.0;0;0;C
Thomas Bryant;15;4.8;1.5;38.1;0.1;10.0;55.6;1.1;0.4;0.1;0.1;0.1;0;0;C
Omer Asik;18;10.1;1.2;40.9;0.0;0.0;30.8;2.6;0.2;0.5;0.1;0.2;0;0;C
Zhou Qi;18;6.9;1.2;18.8;0.1;10.5;66.7;1.2;0.1;0.6;0.1;0.8;0;0;C
Ike Anigbogu;11;2.7;1.2;44.4;0.0;0.0;83.3;0.8;0.0;0.2;0.1;0.3;0;0;C
Matt Costello;4;8.1;1.0;50.0;0.0;0.0;0.0;2.3;0.5;0.3;0.5;0.5;0;0;C
Tony Bradley;9;3.2;0.9;27.3;0.0;0.0;100;1.2;0.1;0.0;0.0;0.0;0;0;C
Cole Aldrich;21;2.3;0.6;33.3;0.0;0.0;33.3;0.7;0.1;0.0;0.1;0.0;0;0;C
Josh McRoberts;2;2.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;C
