PLAYER;GP;MIN;PTS;FG%;3PM;3P%;FT%;REB;AST;TOV;STL;BLK;DD2;TD3;POSITION
Tim Quarterman;3;4.3;1.3;33.3;0.0;0.0;100;1.0;0.3;0.7;0.0;0.0;0;0;G
Markel Brown;4;7.9;1.3;28.6;0.3;20.0;0.0;1.3;0.5;0.5;0.0;0.0;0;0;G
Darrun Hilliard;14;6.8;1.1;26.3;0.0;0.0;85.7;0.5;0.8;0.3;0.1;0.0;0;0;G
Demetrius Jackson;15;5.3;1.1;38.9;0.1;14.3;50.0;0.8;0.6;0.7;0.3;0.1;0;0;G
Kadeem Allen;18;6.0;1.1;27.3;0.0;0.0;77.8;0.6;0.7;0.5;0.2;0.1;0;0;G
PJ Dozier;2;1.6;1.0;50.0;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.0;0;0;G
Reggie Hearn;3;2.2;1.0;50.0;0.3;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;G
Scotty Hopson;1;8.4;1.0;0.0;0.0;0.0;50.0;0.0;1.0;1.0;0.0;0.0;0;0;G
Julyan Stone;23;7.6;0.8;46.2;0.3;46.2;50.0;1.3;1.1;0.3;0.2;0.1;0;0;G
Jacob Pullen;3;2.0;0.7;50.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0;0;G
Vander Blue;5;9.0;0.6;20.0;0.0;0.0;50.0;0.2;0.6;0.6;0.2;0.0;0;0;G
London Perrantes;14;4.7;0.5;15.4;0.0;0.0;60.0;0.3;0.4;0.1;0.1;0.1;0;0;G
Xavier Munford;6;3.5;0.5;16.7;0.0;0.0;50.0;0.2;0.7;0.3;0.2;0.0;0;0;G
Charles Cooke;13;2.9;0.5;14.3;0.1;12.5;50.0;0.2;0.1;0.1;0.1;0.0;0;0;G
Nate Wolters;5;3.8;0.4;16.7;0.0;0.0;0.0;0.4;0.2;0.0;0.0;0.0;0;0;G
Jarell Eddie;3;2.9;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.3;0.0;0;0;G
Luis Montero;2;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0;0;G
Trey McKinney-Jones;1;1.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;G
Xavier Silas;2;3.7;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.5;0.0;0;0;G
Anthony Davis;75;36.4;28.1;53.4;0.7;34.0;82.8;11.1;2.3;2.2;1.5;2.6;50;1;F
LeBron James;82;36.9;27.5;54.2;1.8;36.7;73.1;8.6;9.1;4.2;1.4;0.9;52;18;F
Giannis Antetokounmpo;75;36.7;26.9;52.9;0.6;30.7;76.0;10.0;4.8;3.0;1.5;1.4;42;1;F
Kevin Durant;68;34.2;26.4;51.6;2.5;41.9;88.9;6.8;5.4;3.0;0.7;1.8;15;2;F
LaMarcus Aldridge;75;33.4;23.1;51.0;0.4;29.3;83.7;8.5;2.0;1.5;0.6;1.2;27;0;F
Kristaps Porzingis;48;32.4;22.7;43.9;1.9;39.5;79.3;6.6;1.2;1.9;0.8;2.4;5;0;F
Paul George;79;36.6;21.9;43.0;3.1;40.1;82.2;5.7;3.3;2.7;2.0;0.5;4;0;F
Blake Griffin;58;34.0;21.4;43.8;1.9;34.5;78.5;7.4;5.8;2.8;0.7;0.3;16;3;F
Khris Middleton;82;36.4;20.1;46.6;1.8;35.9;88.4;5.2;4.0;2.3;1.5;0.3;5;1;F
MarShon Brooks;7;27.5;20.1;50.0;2.7;59.4;87.0;3.0;3.6;2.3;1.6;0.4;0;0;F
TJ Warren;65;33.0;19.6;49.8;0.3;22.2;75.7;5.1;1.3;1.3;1.0;0.6;6;0;F
Tyreke Evans;52;30.9;19.4;45.2;2.2;39.9;78.5;5.1;5.2;2.3;1.1;0.3;7;0;F
Harrison Barnes;77;34.2;18.9;44.5;1.5;35.7;82.7;6.1;2.0;1.5;0.6;0.2;8;0;F
Tobias Harris;80;33.3;18.6;46.0;2.3;41.1;82.9;5.5;2.4;1.3;0.9;0.4;3;0;F
Evan Fournier;57;32.2;17.8;45.9;2.2;37.9;86.7;3.2;2.9;1.7;0.8;0.3;0;0;F
Andrew Wiggins;82;36.3;17.7;43.8;1.4;33.1;64.3;4.4;2.0;1.7;1.1;0.6;1;0;F
Aaron Gordon;58;32.9;17.6;43.4;2.0;33.6;69.8;7.9;2.3;1.8;1.0;0.8;17;0;F
Kevin Love;59;28.0;17.6;45.8;2.3;41.5;88.0;9.3;1.7;1.5;0.7;0.4;31;0;F
Tim Hardaway Jr.;57;33.1;17.5;42.1;2.3;31.7;81.6;3.9;2.7;1.6;1.1;0.2;2;0;F
JJ Redick;70;30.2;17.1;46.0;2.8;42.0;90.4;2.5;3.0;1.5;0.5;0.1;0;0;F
Kawhi Leonard;9;23.3;16.2;46.8;1.2;31.4;81.6;4.7;2.3;1.8;2.0;1.0;0;0;F
Carmelo Anthony;78;32.1;16.2;40.4;2.2;35.7;76.7;5.8;1.3;1.3;0.6;0.6;6;0;F
Julius Randle;82;26.7;16.1;55.8;0.1;22.2;71.8;8.0;2.6;2.6;0.5;0.5;28;1;F
Kyle Kuzma;77;31.2;16.1;45.0;2.1;36.6;70.7;6.3;1.8;1.8;0.6;0.4;17;0;F
Brandon Ingram;59;33.5;16.1;47.0;0.7;39.0;68.1;5.3;3.9;2.5;0.8;0.7;6;0;F
Ben Simmons;81;33.7;15.8;54.5;0.0;0.0;56.0;8.1;8.2;3.4;1.7;0.9;38;12;F
Will Barton;81;33.1;15.7;45.2;1.9;37.0;80.5;5.0;4.1;1.8;1.0;0.6;2;0;F
Nikola Mirotic;55;27.2;15.6;44.7;2.5;37.7;81.8;7.4;1.5;1.1;0.8;0.7;12;0;F
Danilo Gallinari;21;32.0;15.3;39.8;1.7;32.4;93.1;4.8;2.0;1.2;0.6;0.5;0;0;F
Lauri Markkanen;68;29.7;15.2;43.4;2.1;36.2;84.3;7.5;1.2;1.2;0.6;0.6;14;0;F
Otto Porter Jr.;77;31.6;14.7;50.3;1.8;44.1;82.8;6.4;2.0;1.0;1.5;0.5;13;0;F
Dario Saric;78;29.6;14.6;45.3;2.0;39.3;86.0;6.7;2.6;1.9;0.7;0.3;13;0;F
Paul Millsap;38;30.1;14.6;46.4;1.0;34.5;69.6;6.4;2.8;1.9;1.0;1.2;2;0;F
Jaylen Brown;70;30.7;14.5;46.5;1.7;39.5;64.4;4.9;1.6;1.8;1.0;0.4;2;0;F
Zach Randolph;59;25.6;14.5;47.3;0.9;34.7;78.5;6.7;2.2;2.0;0.7;0.2;8;0;F
Bojan Bogdanovic;80;30.8;14.3;47.4;1.9;40.2;86.8;3.4;1.5;1.3;0.7;0.1;0;0;F
Taurean Prince;82;30.0;14.1;42.6;2.1;38.5;84.4;4.7;2.6;2.3;1.0;0.5;5;0;F
Jonathon Simmons;69;29.4;13.9;46.5;1.0;33.8;76.8;3.5;2.5;2.1;0.8;0.2;0;0;F
Rondae Hollis-Jefferson;68;28.2;13.9;47.2;0.2;24.1;78.8;6.8;2.5;1.8;1.0;0.7;12;0;F
Jayson Tatum;80;30.5;13.9;47.5;1.3;43.4;82.6;5.0;1.6;1.4;1.0;0.7;4;0;F
Marcus Morris;54;26.7;13.6;42.9;1.6;36.8;80.5;5.4;1.3;1.2;0.6;0.2;2;0;F
DeMarre Carroll;73;29.9;13.5;41.4;2.0;37.1;76.4;6.6;2.0;1.4;0.8;0.4;13;0;F
Bobby Portis;73;22.5;13.2;47.1;1.1;35.9;76.9;6.8;1.7;1.4;0.7;0.3;12;0;F
Allen Crabbe;75;29.3;13.2;40.7;2.7;37.8;85.2;4.3;1.6;1.0;0.6;0.5;0;0;F
Michael Beasley;74;22.3;13.2;50.7;0.5;39.5;78.0;5.6;1.7;1.9;0.5;0.6;10;0;F
Josh Jackson;77;25.4;13.1;41.7;0.7;26.3;63.4;4.6;1.5;1.9;1.0;0.5;5;0;F
Josh Richardson;81;33.2;12.9;45.1;1.6;37.8;84.5;3.5;2.9;1.7;1.5;0.9;0;0;F
Al Horford;72;31.6;12.9;48.9;1.3;42.9;78.3;7.4;4.7;1.8;0.6;1.1;15;0;F
Wesley Matthews;63;33.8;12.7;40.6;2.4;38.1;82.2;3.1;2.7;1.3;1.2;0.3;0;0;F
Serge Ibaka;76;27.5;12.6;48.3;1.4;36.0;79.7;6.3;0.8;1.2;0.4;1.3;8;0;F
Jabari Parker;31;24.0;12.6;48.2;1.0;38.3;74.1;4.9;1.9;1.5;0.8;0.3;3;0;F
Robert Covington;80;31.6;12.6;41.3;2.5;36.9;85.3;5.4;2.0;1.6;1.7;0.9;7;0;F
E'Twaun Moore;82;31.5;12.5;50.8;1.6;42.5;70.6;2.9;2.3;1.2;1.0;0.1;0;0;F
Derrick Favors;77;28.0;12.3;56.3;0.2;22.2;65.1;7.2;1.3;1.1;0.7;1.1;15;0;F
Taj Gibson;82;33.2;12.2;57.7;0.1;20.0;76.8;7.1;1.2;1.1;0.8;0.7;18;0;F
Justin Holiday;72;31.5;12.2;37.1;2.2;35.9;82.3;4.0;2.1;1.3;1.1;0.4;2;0;F
Marco Belinelli;80;24.3;12.1;44.1;1.9;37.7;90.8;1.9;1.9;1.2;0.8;0.2;0;0;F
Gerald Green;41;22.7;12.1;40.7;2.7;36.9;85.0;3.2;0.6;0.8;0.6;0.4;0;0;F
Caris LeVert;71;26.2;12.1;43.5;1.2;34.7;71.1;3.7;4.2;2.2;1.2;0.3;3;0;F
Dirk Nowitzki;77;24.7;12.0;45.6;1.8;40.9;89.8;5.7;1.6;0.7;0.6;0.6;5;0;F
Thaddeus Young;81;32.2;11.8;48.7;0.7;32.0;59.8;6.3;1.9;1.3;1.7;0.4;9;0;F
Kelly Oubre Jr.;81;27.5;11.8;40.3;1.6;34.1;82.0;4.5;1.2;1.1;1.0;0.4;0;0;F
Trevor Ariza;67;33.9;11.7;41.2;2.5;36.8;85.4;4.4;1.6;0.8;1.5;0.2;1;0;F
Domantas Sabonis;74;24.5;11.6;51.4;0.2;35.1;75.0;7.7;2.0;1.9;0.5;0.4;15;0;F
Nicolas Batum;64;31.0;11.6;41.5;1.4;33.6;83.1;4.8;5.5;2.0;1.0;0.4;7;2;F
Markieff Morris;73;27.0;11.5;48.0;1.0;36.7;82.0;5.6;1.9;1.7;0.8;0.5;5;0;F
Rudy Gay;57;21.6;11.5;47.1;0.6;31.4;77.2;5.1;1.3;1.4;0.8;0.7;1;0;F
Kelly Olynyk;76;23.4;11.5;49.7;1.4;37.9;77.0;5.7;2.7;1.9;0.8;0.5;7;0;F
Joe Ingles;82;31.4;11.5;46.7;2.5;44.0;79.5;4.2;4.8;1.9;1.1;0.2;4;0;F
Reggie Bullock;62;27.9;11.3;48.9;2.0;44.5;79.6;2.5;1.5;0.8;0.8;0.2;0;0;F
Frank Kaminsky;79;23.2;11.1;42.9;1.3;38.0;79.9;3.6;1.6;0.8;0.5;0.2;0;0;F
